DMAINDEX,Count of # orders,total $,count of customers,CNTYTVHH_count,STATE,COUNTY,STATEFP,CNTYFP,CNTYTVHH_DMAP,DMA,GOOGLE_DMA,STCOUNTYFP
1.0,691,453926.66,582,57068370.0,CT ,Fairfield                   ,9,1,326870,NEW YORK (NY)                                                        ,New York NY,91
3.0,192,113119.26,160,5583950.0,IL ,Cook                        ,17,31,1945360,CHICAGO (IL)                                                         ,Chicago IL,1731
4.0,150,95049.81999999999,120,17169600.0,DE ,Kent                        ,10,1,47820,PHILADELPHIA (PA)                                                    ,Philadelphia PA,101
7.0,1438,1052621.68,1134,85193760.0,TX ,Anderson                    ,48,1,15960,DALLAS (TX) - FT. WORTH (TX)                                         ,Dallas-Ft. Worth TX,481
8.0,546,341409.88,436,3240170.0,DC ,District Of Columbia        ,11,1,242960,WASHINGTON (DC) - HAGERSTOWN (MD)                                    ,Washington DC (Hagerstown MD),111
8.0,546,341409.88,436,3240170.0,VA ,Alexandria City             ,51,510,0,"WASHINGTON, DC(HAGRSTWN)                                             ",,51510
9.0,975,631644.28,789,19079320.0,AL ,Cleburne                    ,1,29,5610,ATLANTA (GA)                                                         ,Atlanta GA,129
10.0,542,333824.38,441,53510260.0,MI ,Lapeer                      ,26,87,31810,DETROIT (MI)                                                         ,Detroit MI,2687
11.0,1084,792977.74,861,106151260.0,TX ,Austin                      ,48,15,9000,HOUSTON (TX)                                                         ,Houston TX,4815
13.0,575,433577.58,443,26749900.0,FL ,Citrus                      ,12,17,54540,TAMPA (FL) - ST. PETERSBURG (FL) - SARASOTA (FL)                     ,Tampa-St. Petersburg (Sarasota) FL,1217
14.0,211,144434.98,158,5548570.0,MN ,Aitkin                      ,27,1,6830,MINNEAPOLIS (MN) - ST. PAUL (MN)                                     ,Minneapolis-St. Paul MN,271
15.0,239,176700.62,194,9267960.0,OH ,Ashland                     ,39,5,19760,CLEVELAND (OH) - AKRON (OH) - CANTON (OH)                            ,Cleveland-Akron (Canton) OH,395
18.0,2,582.0,2,3580.0,CO ,Adams                       ,8,1,134910,DENVER (CO)                                                          ,Denver CO,81
20.0,169,136082.04,128,5300000.0,FL ,Brevard                     ,12,9,206480,ORLANDO (FL) - DAYTONA BEACH (FL) - MELBOURNE (FL)                   ,Orlando-Daytona Beach-Melbourne FL,129
21.0,102,56838.18,79,3684830.0,MD ,Garrett                     ,24,23,11200,PITTSBURGH (PA)                                                      ,Pittsburgh PA,2423
22.0,487,323979.82,394,17676970.0,IL ,Bond                        ,17,5,6230,ST. LOUIS (MO)                                                       ,St. Louis MO,175
24.0,127,74434.04,104,5007400.0,MD ,Anne Arundel                ,24,3,186110,BALTIMORE (MD)                                                       ,Baltimore MD,243
25.0,57,39131.759999999995,47,426500.0,IN ,Bartholomew                 ,18,5,28030,INDIANAPOLIS (IN)                                                    ,Indianapolis IN,185
28.0,353,279068.82,287,8813570.0,NC ,Alexander                   ,37,3,13620,CHARLOTTE (NC)                                                       ,Charlotte NC,373
29.0,493,286841.22,404,9660600.0,NC ,Chatham                     ,37,37,20550,RALEIGH (NC) - DURHAM (NC) - FAYETTEVILLE (NC)                       ,Raleigh-Durham (Fayetteville) NC,3737
30.0,376,244438.62,303,2232980.0,KY ,Allen                       ,21,3,6960,NASHVILLE (TN)                                                       ,Nashville TN,213
31.0,181,87732.95999999999,152,3995640.0,WI ,Dodge                       ,55,27,32270,MILWAUKEE (WI)                                                       ,Milwaukee WI,5527
32.0,75,49469.4,62,1058890.0,IN ,Dearborn                    ,18,29,17320,CINCINNATI (OH)                                                      ,Cincinnati OH,1829
33.0,39,26693.1,34,427960.0,KS ,Anderson                    ,20,3,3150,KANSAS CITY (MO)                                                     ,Kansas City MO,203
34.0,48,41272.08,38,216170.0,OH ,Coshocton                   ,39,31,14000,COLUMBUS (OH)                                                        ,Columbus OH,3931
35.0,96,42866.54,89,465880.0,GA ,Elbert                      ,13,105,8190,GREENVILLE (SC) - SPARTANBURG (SC) - ASHEVILLE (NC) - ANDERSON (SC)  ,Greenville-Spartanburg SC-Asheville NC-Anderson SC,13105
37.0,142,98430.6,120,570040.0,TX ,Atascosa                    ,48,13,13500,SAN ANTONIO (TX)                                                     ,San Antonio TX,4813
38.0,76,50621.36,60,1547660.0,MI ,Allegan                     ,26,5,38880,GRAND RAPIDS (MI) - KALAMAZOO (MI) - BATTLE CREEK (MI)               ,Grand Rapids-Kalamazoo-Battle Creek MI,265
39.0,37,17216.72,34,812500.0,FL ,Indian River                ,12,61,53150,WEST PALM BEACH (FL) - FT. PIERCE (FL)                               ,West Palm Beach-Ft. Pierce FL,1261
41.0,490,226872.22,301,3504630.0,NC ,Camden                      ,37,29,2770,NORFOLK (VA) - PORTSMOUTH (VA) - NEWPORT NEWS (VA)                   ,Norfolk-Portsmouth-Newport News VA,3729
41.0,490,226872.22,301,3504630.0,VA ,Franklin City               ,51,620,0,NORFOLK-PORTSMTH-NEWPT NWS                                           ,,51620
42.0,63,38769.36,53,1047070.0,LA ,Jefferson Parish            ,22,51,174590,NEW ORLEANS (LA)                                                     ,New Orleans LA,2251
43.0,155,73105.42,130,8179890.0,AR ,Crittenden                  ,5,35,18330,MEMPHIS (TN)                                                         ,Memphis TN,535
44.0,1,263.52,1,14910.0,NY ,Allegany                    ,36,3,17470,BUFFALO (NY)                                                         ,Buffalo NY,363
45.0,172,105912.92,135,6836080.0,OK ,Alfalfa                     ,40,3,2070,OKLAHOMA CITY (OK)                                                   ,Oklahoma City OK,403
46.0,59,28407.28,51,879830.0,NC ,Alamance                    ,37,1,52940,GREENSBORO (NC) - HIGH POINT (NC) - WINSTON SALEM (NC)               ,Greensboro-High Point-Winston Salem NC,371
47.0,44,19406.059999999998,36,2263650.0,PA ,Adams                       ,42,1,33910,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,Harrisburg-Lancaster-Lebanon-York PA,421
50.0,225,222281.06,183,5443840.0,IN ,Clark                       ,18,19,39000,LOUISVILLE (KY)                                                      ,Louisville KY,1819
51.0,181,117699.08,141,752760.0,FL ,Baker                       ,12,3,7480,JACKSONVILLE (FL)                                                    ,Jacksonville FL,123
53.0,21,32094.38,16,310270.0,PA ,Bradford                    ,42,15,24500,WILKES BARRE (PA) - SCRANTON (PA)                                    ,Wilkes Barre-Scranton PA,4215
54.0,668,420769.64,569,18474860.0,TX ,Bastrop                     ,48,21,21720,AUSTIN (TX)                                                          ,Austin TX,4821
55.0,21,10264.9,14,316340.0,MA ,Berkshire                   ,25,3,55130,ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)                           ,Albany-Schenectady-Troy NY,253
58.0,94,60490.08,75,5218870.0,IN ,Wayne                       ,18,177,27600,DAYTON (OH)                                                          ,Dayton OH,18177
59.0,275,166311.8,229,1338660.0,VA ,Amelia                      ,51,7,4320,RICHMOND (VA) - PETERSBURG (VA)                                      ,Richmond-Petersburg VA,517
59.0,275,166311.8,229,1338660.0,VA ,Colonial Heights City       ,51,570,0,RICHMOND-PETERSBURG                                                  ,,51570
60.0,173,148140.38,158,5111150.0,KS ,Chautauqua                  ,20,19,1750,TULSA (OK)                                                           ,Tulsa OK,2019
61.0,17,7819.280000000001,12,153810.0,KY ,Boyd                        ,21,19,19580,CHARLESTON (WV) - HUNTINGTON (WV)                                    ,Charleston-Huntington WV,2119
62.0,25,12403.48,20,225500.0,AL ,Baldwin                     ,1,3,58950,MOBILE (AL) - PENSACOLA (FL) - FT. WALTON (FL)                       ,Mobile AL-Pensacola (Ft. Walton Beach) FL,13
63.0,102,40697.04,75,445580.0,KY ,Bell                        ,21,13,11640,KNOXVILLE (TN)                                                       ,Knoxville TN,2113
64.0,46,17872.2,37,873740.0,MI ,Arenac                      ,26,11,6920,FLINT (MI) - SAGINAW (MI) - BAY CITY (MI)                            ,Flint-Saginaw-Bay City MI,2611
65.0,71,44538.299999999996,63,292530.0,KY ,Anderson                    ,21,5,7650,LEXINGTON (KY)                                                       ,Lexington KY,215
66.0,67,37433.96,54,2369040.0,KS ,Barber                      ,20,7,2180,WICHITA (KS) - HUTCHINSON (KS)                                       ,Wichita Falls TX & Lawton OK,207
67.0,195,87147.14,158,824490.0,VA ,Alleghany                   ,51,5,9780,ROANOKE (VA) - LYNCHBURG (VA)                                        ,Roanoke-Lynchburg VA,515
67.0,195,87147.14,158,824490.0,VA ,Bedford City                ,51,515,0,ROANOKE-LYNCHBURG                                                    ,,51515
68.0,19,9432.3,18,317620.0,MI ,Lenawee                     ,26,91,36890,TOLEDO (OH)                                                          ,Toledo OH,2691
69.0,32,13605.099999999999,23,450330.0,MI ,Menominee                   ,26,109,10630,GREEN BAY (WI) - APPLETON (WI)                                       ,Green Bay-Appleton WI,26109
72.0,113,55228.64,85,2634400.0,IA ,Adair                       ,19,1,3390,DES MOINES (IA) - AMES (IA)                                          ,Des Moines-Ames IA,191
73.0,28,10857.06,16,127640.0,AR ,Baxter                      ,5,5,17170,SPRINGFIELD (MO)                                                     ,Springfield-Holyoke MA,55
75.0,46,32715.54,39,279290.0,IL ,Alexander                   ,17,3,3620,PADUCAH (KY) - CAPE GIRARDEAU (MO) - HARRISBURG (IL) - MT VERNON (KS),Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,173
77.0,25,15425.86,18,193000.0,NY ,Livingston                  ,36,51,21940,ROCHESTER (NY)                                                       ,Rochester NY,3651
78.0,41,13973.0,37,406930.0,IA ,Cass                        ,19,29,5990,OMAHA (NE)                                                           ,Omaha NE,1929
80.0,15,9606.119999999999,12,102000.0,NY ,Cayuga                      ,36,11,30180,SYRACUSE (NY)                                                        ,Syracuse NY,3611
81.0,34,38789.3,27,168050.0,AR ,Columbia                    ,5,27,9680,SHREVEPORT (LA)                                                      ,Shreveport LA,527
82.0,60,27082.22,48,508830.0,IL ,Champaign                   ,17,19,69400,CHAMPAIGN (IL) - SPRINGFIELD (IL) - DECATUR (IL)                     ,Champaign & Springfield-Decatur IL,1719
83.0,1,3825.26,1,12560.0,AL ,Colbert                     ,1,33,22230,HUNTSVILLE (AL) - DECATUR (AL) - FLORENCE (AL)                       ,Huntsville-Decatur (Florence) AL,133
85.0,77,32467.66,67,442470.0,GA ,Catoosa                     ,13,47,21310,CHATTANOOGA (TN)                                                     ,Chattanooga TN,1347
86.0,24,15572.06,18,435320.0,WI ,Columbia                    ,55,21,20940,MADISON (WI)                                                         ,Madison WI,5521
87.0,39,23381.6,31,944330.0,IN ,Elkhart                     ,18,39,65900,SOUTH BEND (IN) - ELKHART (IN)                                       ,South Bend-Elkhart IN,1839
