DMA_CODE,counts_of_customers
500,138
501,2871
502,23
503,31
504,1042
505,431
506,1080
507,197
508,335
509,37
510,374
511,1791
512,395
513,28
514,123
515,189
516,19
517,322
518,178
519,177
520,70
521,144
522,50
523,98
524,784
525,10
526,22
527,230
528,363
529,160
530,52
531,43
532,143
533,344
534,365
535,242
536,29
537,21
538,97
539,477
540,42
541,101
542,92
543,44
544,187
545,42
546,89
547,78
548,439
549,4
550,83
551,61
553,8
554,8
555,65
556,236
557,94
558,3
559,9
560,389
561,216
563,122
564,52
565,14
566,166
567,250
569,18
570,48
571,377
573,94
574,42
575,85
576,61
577,75
581,14
582,12
583,2
584,89
588,61
592,42
596,3
597,8
598,5
600,38
602,1297
603,11
604,29
605,29
606,13
609,299
610,20
611,26
612,81
613,511
616,219
617,214
618,836
619,50
622,203
623,985
624,16
625,56
626,11
627,21
628,23
630,171
631,4
632,37
633,52
634,30
635,435
636,26
637,44
638,2
639,8
640,185
641,331
642,32
643,21
644,10
647,10
648,54
649,33
650,161
651,28
652,89
656,36
657,8
658,49
659,312
661,12
662,28
669,108
670,51
671,149
673,20
675,60
676,29
678,65
679,76
682,46
686,112
687,7
691,70
692,22
693,103
698,41
702,24
705,27
709,77
710,21
711,11
716,79
717,13
718,68
722,44
724,22
725,42
734,4
736,10
737,7
740,1
746,21
749,11
751,741
752,77
753,654
754,47
755,11
756,21
757,121
758,48
759,9
760,57
762,39
764,13
765,52
766,8
767,8
770,269
771,16
773,16
789,175
790,286
800,54
801,87
802,31
803,2915
804,265
807,5724
810,54
811,196
813,65
819,1057
820,592
821,55
825,703
828,357
839,212
855,329
862,912
866,186
868,84
881,108
