DMA_CODE,counts_of_customers
500.0,251
501.0,5731
502.0,42
503.0,72
504.0,2117
505.0,842
506.0,2210
507.0,365
508.0,665
509.0,77
510.0,767
511.0,3581
512.0,757
513.0,77
514.0,230
515.0,379
516.0,38
517.0,594
518.0,316
519.0,371
520.0,144
521.0,313
522.0,108
523.0,191
524.0,1560
525.0,19
526.0,41
527.0,436
528.0,774
529.0,301
530.0,97
531.0,70
532.0,269
533.0,720
534.0,701
535.0,464
536.0,48
537.0,48
538.0,182
539.0,981
540.0,79
541.0,192
542.0,182
543.0,90
544.0,424
545.0,99
546.0,190
547.0,131
548.0,884
549.0,8
550.0,160
551.0,112
553.0,17
554.0,19
555.0,135
556.0,495
557.0,205
558.0,4
559.0,22
560.0,760
561.0,472
563.0,260
564.0,86
565.0,27
566.0,314
567.0,530
569.0,51
570.0,95
571.0,792
573.0,179
574.0,81
575.0,148
576.0,113
577.0,142
581.0,24
582.0,23
583.0,2
584.0,156
588.0,132
592.0,88
596.0,6
597.0,9
598.0,10
600.0,70
602.0,2618
603.0,23
604.0,68
605.0,59
606.0,29
609.0,641
610.0,40
611.0,72
612.0,145
613.0,1036
616.0,482
617.0,422
618.0,1570
619.0,102
622.0,421
623.0,1946
624.0,30
625.0,128
626.0,19
627.0,41
628.0,33
630.0,348
631.0,9
632.0,72
633.0,102
634.0,56
635.0,913
636.0,53
637.0,97
638.0,2
639.0,13
640.0,357
641.0,711
642.0,74
643.0,44
644.0,27
647.0,12
648.0,98
649.0,46
650.0,332
651.0,52
652.0,180
656.0,68
657.0,21
658.0,105
659.0,592
661.0,25
662.0,42
669.0,213
670.0,96
671.0,256
673.0,43
675.0,122
676.0,59
678.0,125
679.0,168
682.0,86
686.0,221
687.0,15
691.0,154
692.0,37
693.0,210
698.0,83
702.0,48
705.0,65
709.0,144
710.0,38
711.0,17
716.0,159
717.0,25
718.0,129
722.0,89
724.0,35
725.0,72
734.0,9
736.0,20
737.0,13
740.0,3
746.0,34
749.0,19
751.0,1550
752.0,157
753.0,1356
754.0,103
755.0,28
756.0,51
757.0,244
758.0,95
759.0,24
760.0,109
762.0,78
764.0,31
765.0,103
766.0,11
767.0,9
770.0,631
771.0,24
773.0,30
789.0,404
790.0,607
800.0,112
801.0,174
802.0,57
803.0,5933
804.0,619
807.0,12143
810.0,117
811.0,400
813.0,150
819.0,2121
820.0,1266
821.0,103
825.0,1458
828.0,714
839.0,403
855.0,759
862.0,1872
866.0,400
868.0,177
881.0,235
