DMA_CODE,DMA_NAME,# of Orders,# of Unique Customer,total_revenue
500,"Portland-Auburn, ME",251,192,113412.54
501,"New York, NY",5742,3869,3604940.92
502,"Binghamton, NY",42,34,14758.26
503,"Macon, GA",72,54,32307.16
504,"Philadelphia, PA",2118,1467,1150322.06
505,"Detroit, MI",847,567,545448.54
506,"Boston, MA (Manchester, NH)",2213,1524,1210485.92
507,"Savannah, GA",365,268,191203.44
508,"Pittsburgh, PA",665,460,386613.58
509,"Ft. Wayne, IN",77,52,56778.94
510,"Cleveland-Akron (Canton), OH",767,537,448741.66
511,"Washington, DC (Hagerstown, MD)",3582,2459,2091995.5
512,"Baltimore, MD",757,544,465931.02
513,"Flint-Saginaw-Bay City, MI",78,51,30003.46
514,"Buffalo, NY",230,164,151013.4
515,"Cincinnati, OH",379,266,229401.04
516,"Erie, PA",38,28,41287.66
517,"Charlotte, NC",595,430,424331.4
518,"Greensboro-High Point-Winston Salem, NC",321,232,191072.83
519,"Charleston, SC",371,245,234738.74
520,"Augusta, GA",144,100,69561.44
521,"Providence, RI-New Bedford, MA",314,200,185498.5
522,"Columbus, GA",108,67,44527.08
523,"Burlington, VT-Plattsburgh, NY",192,148,100977.28
524,"Atlanta, GA",1561,1082,936184.98
525,"Albany, GA",19,14,8456.08
526,"Utica, NY",41,28,27762.72
527,"Indianapolis, IN",437,318,230180.24
528,"Miami-Fort Lauderdale, FL",777,508,433331.22
529,"Louisville, KY",301,216,178862.94
530,"Tallahassee, FL-Thomasville, GA",97,70,42739.04
531,"Tri-Cities, TN-VA",70,55,34374.92
532,"Albany-Schenectady-Troy, NY",269,209,137919.42
533,"Hartford & New Haven, CT",720,518,360396.72
534,"Orlando-Daytona Beach-Melbourne, FL",702,513,394297.7
535,"Columbus, OH",464,321,271526.4
536,"Youngstown, OH",48,37,20223.62
537,"Bangor, ME",48,32,43072.68
538,"Rochester, NY",182,137,100666.38
539,"Tampa-St. Petersburg (Sarasota), FL",982,678,592206.8
540,"Traverse City-Cadillac, MI",79,64,46282.98
541,"Lexington, KY",192,128,179704.72
542,"Dayton, OH",182,125,82029.38
543,"Springfield-Holyoke, MA",90,68,49173.52
544,"Norfolk-Portsmouth-Newport News, VA",424,280,214950.68
545,"Greenville-New Bern-Washington, NC",99,70,39843.72
546,"Columbia, SC",190,122,115219.08
547,"Toledo, OH",131,105,80808.84
548,"West Palm Beach-Ft. Pierce, FL",884,589,594558.88
549,"Watertown, NY",8,6,2837.82
550,"Wilmington, NC",160,120,85142.31999999999
551,"Lansing, MI",112,81,59723.58
553,"Marquette, MI",17,10,8088.320000000001
554,"Wheeling, WV-Steubenville, OH",19,17,7088.6
555,"Syracuse, NY",135,96,104317.16
556,"Richmond-Petersburg, VA",495,340,289622.5
557,"Knoxville, TN",205,133,134310.0
558,"Lima, OH",4,4,3507.9
559,"Bluefield-Beckley-Oak Hill, WV",22,16,10099.18
560,"Raleigh-Durham (Fayetteville), NC",760,541,433110.94
561,"Jacksonville, FL",472,312,259152.46
563,"Grand Rapids-Kalamazoo-Battle Creek, MI",260,178,173507.02
564,"Charleston-Huntington, WV",86,64,63780.06
565,"Elmira, NY",27,17,10073.76
566,"Harrisburg-Lancaster-Lebanon-York, PA",314,210,182306.3
567,"Greenville-Spartanburg, SC-Asheville, NC-Anderson,SC",530,377,261780.3
569,"Harrisonburg, VA",51,24,105581.82
570,"Myrtle Beach-Florence, SC",95,65,58659.64
571,"Ft. Myers-Naples, FL",793,508,501955.0
573,"Roanoke-Lynchburg, VA",179,136,177101.46
574,"Johnstown-Altoona, PA",81,61,50012.56
575,"Chattanooga, TN",148,112,99645.58
576,"Salisbury, MD",113,96,39891.84
577,"Wilkes Barre-Scranton, PA",142,107,88460.26
581,"Terre Haute, IN",24,18,13127.98
