,DMA_CODE,count_of_orders,total_revenue,Latitude,Longitude,DMA_NAME
0,500,251,113412.54,11011.598823,-17615.75501,"Portland-Auburn, ME"
1,501,5742,3604940.92,234578.193037,-424337.978121,"New York, NY"
2,502,42,14758.26,1771.676108,-3172.446087,"Binghamton, NY"
3,503,72,32307.16,2362.4577560000002,-6015.992242,"Macon, GA"
4,504,2118,1150322.06,84832.915711,-159392.995682,"Philadelphia, PA"
5,505,847,545448.54,35978.621695,-70569.65499,"Detroit, MI"
6,506,2213,1210485.92,93792.391313,-157413.668193,"Boston, MA (Manchester, NH)"
7,507,365,191203.44,11730.300553,-29560.055891,"Savannah, GA"
8,508,665,386613.58,26904.933733,-53151.924034,"Pittsburgh, PA"
9,509,77,56778.94,3168.246248,-6559.462985,"Ft. Wayne, IN"
10,510,767,448741.66,31703.148306,-62603.535146,"Cleveland-Akron (Canton), OH"
11,511,3582,2091995.5,139473.988806,-276567.870264,"Washington, DC (Hagerstown, MD)"
12,512,757,465931.02,29731.395742,-57984.260656,"Baltimore, MD"
13,513,78,30003.46,3379.790023,-6537.367922,"Flint-Saginaw-Bay City, MI"
14,514,230,151013.4,9862.809697,-18119.701677,"Buffalo, NY"
15,515,379,229401.04,14846.953932,-31997.649927,"Cincinnati, OH"
16,516,38,41287.659999999996,1595.474689,-3038.790188,"Erie, PA"
17,517,595,424331.4,21011.036289,-48156.772082,"Charlotte, NC"
18,518,321,191072.83,11582.769565,-25707.919339,"Greensboro-High Point-Winston Salem, NC"
19,519,371,234738.74,12193.603688,-29641.19158,"Charleston, SC"
20,520,144,69561.44,4825.644877,-11795.653,"Augusta, GA"
21,521,314,185498.5,13077.48758,-22407.403702,"Providence, RI-New Bedford, MA"
22,522,108,44527.08,3509.838221,-9178.183491,"Columbus, GA"
23,523,192,100977.28,8466.205978,-13960.828321,"Burlington, VT-Plattsburgh, NY"
24,524,1561,936184.98,52921.676639,-131601.345492,"Atlanta, GA"
25,525,19,8456.08,597.162403,-1593.400628,"Albany, GA"
26,526,41,27762.72,1761.795445,-3079.1373360000002,"Utica, NY"
27,527,437,230180.24,17406.406531,-37636.932422,"Indianapolis, IN"
28,528,777,433331.22,20080.941397,-62375.737011,"Miami-Fort Lauderdale, FL"
29,529,301,178862.94,11508.406577,-25772.930043,"Louisville, KY"
30,530,97,42739.04,2968.42916,-8153.1754980000005,"Tallahassee, FL-Thomasville, GA"
31,531,70,34374.92,2552.949284,-5763.786023,"Tri-Cities, TN-VA"
32,532,269,137919.42,11501.05702,-19810.407131,"Albany-Schenectady-Troy, NY"
33,533,720,360396.72,29937.160765,-52366.986156,"Hartford & New Haven, CT"
34,534,702,394297.7,20164.727547,-57118.551229,"Orlando-Daytona Beach-Melbourne, FL"
35,535,464,271526.4,18578.663039,-38495.450958,"Columbus, OH"
36,536,48,20223.62,1969.33951,-3871.04365,"Youngstown, OH"
37,537,48,43072.68,2134.727331,-3294.318458,"Bangor, ME"
38,538,182,100666.38,7839.788099,-14106.92259,"Rochester, NY"
39,539,982,592206.8,27235.825017,-80970.931807,"Tampa-St. Petersburg (Sarasota), FL"
40,540,79,46282.98,3537.464107,-6745.664489,"Traverse City-Cadillac, MI"
41,541,192,179704.72,7298.447308,-16220.600065,"Lexington, KY"
42,542,182,82029.38,7239.656916,-15315.475112,"Dayton, OH"
43,543,90,49173.520000000004,3801.175481,-6532.215701,"Springfield-Holyoke, MA"
44,544,424,214950.68,15696.981707,-32390.633236,"Norfolk-Portsmouth-Newport News, VA"
45,545,99,39843.72,3480.838474,-7642.9248290000005,"Greenville-New Bern-Washington, NC"
46,546,190,115219.08,6462.980354,-15379.576613,"Columbia, SC"
47,547,131,80808.84,5446.52573,-10962.141486,"Toledo, OH"
48,548,884,594558.88,23766.994938,-70887.480786,"West Palm Beach-Ft. Pierce, FL"
49,549,8,2837.82,353.285335,-606.530118,"Watertown, NY"
50,550,160,85142.31999999999,5471.749361,-12466.312953,"Wilmington, NC"
51,551,112,59723.58,4774.801769,-9460.981535,"Lansing, MI"
52,553,17,8088.320000000001,788.435237,-1498.019448,"Marquette, MI"
53,554,19,7088.6,762.793706,-1534.360883,"Wheeling, WV-Steubenville, OH"
54,555,135,104317.16,5798.399985,-10280.0334,"Syracuse, NY"
55,556,495,289622.5,18599.950453,-38395.315459,"Richmond-Petersburg, VA"
56,557,205,134310.0,7363.54023,-17225.445369,"Knoxville, TN"
57,558,4,3507.9,162.871735,-336.644356,"Lima, OH"
58,559,22,10099.18,827.954431,-1780.733627,"Bluefield-Beckley-Oak Hill, WV"
59,560,760,433110.94,27198.544717,-59927.05662,"Raleigh-Durham (Fayetteville), NC"
60,561,472,259152.46,14310.881768,-38482.326799,"Jacksonville, FL"
61,563,260,173507.02,11104.347155,-22283.332159,"Grand Rapids-Kalamazoo-Battle Creek, MI"
62,564,86,63780.06,3307.678668,-7063.772957,"Charleston-Huntington, WV"
63,565,27,10073.76,1134.195678,-2084.201998,"Elmira, NY"
64,566,314,182306.3,12596.098424,-24079.953775,"Harrisburg-Lancaster-Lebanon-York, PA"
65,567,530,261780.3,18636.003583,-43709.185002,"Greenville-Spartanburg, SC-Asheville, NC-Anderson,SC"
66,569,51,105581.82,1953.249685,-4023.8999879999997,"Harrisonburg, VA"
67,570,95,58659.64,3228.33277,-7526.260643,"Myrtle Beach-Florence, SC"
68,571,793,501955.0,20866.593506,-64885.897798,"Ft. Myers-Naples, FL"
69,573,179,177101.46,6676.88567,-14268.362844,"Roanoke-Lynchburg, VA"
70,574,81,50012.56,3285.243864,-6355.123793,"Johnstown-Altoona, PA"
71,575,148,99645.58,5190.657104,-12605.07954,"Chattanooga, TN"
72,576,113,39891.84,4364.522283,-8505.126195,"Salisbury, MD"
73,577,142,88460.26,5852.768994,-10791.988355,"Wilkes Barre-Scranton, PA"
74,581,24,13127.98,942.934114,-2097.449732,"Terre Haute, IN"
75,582,23,8676.7,929.65312,-1999.237703,"Lafayette, IN"
76,583,2,379.28,89.692376,-166.744751,"Alpena, MI"
77,584,156,87585.12,5940.369844,-12243.020281,"Charlottesville, VA"
78,588,132,84950.72,5507.613985,-11380.30039,"South Bend-Elkhart, IN"
79,592,88,41779.1,2609.507525,-7253.745926,"Gainesville, FL"
80,596,6,2613.56,239.90670799999998,-491.574764,"Zanesville, OH"
81,597,10,6247.08,393.04798800000003,-815.167472,"Parkersburg, WV"
82,598,10,6123.44,393.348284,-802.54801,"Clarksburg-Weston, WV"
83,600,70,50587.14,1946.828075,-6817.131384,"Corpus Christi, TX"
84,602,2622,1670434.66,109980.080413,-230290.380641,"Chicago, IL"
85,603,23,28827.18,855.1552350000001,-2173.121369,"Joplin, MO-Pittsburg, KS"
86,604,68,26674.98,2642.795278,-6277.906163,"Columbia-Jefferson City, MO"
87,605,59,34452.34,2307.887257,-5664.179396,"Topeka, KS"
88,606,29,22460.34,906.125984,-2481.656297,"Dothan, AL"
89,609,642,392964.64,24807.566989,-58030.412803,"St. Louis, MO"
90,610,40,18848.26,1688.167483,-3565.231257,"Rockford, IL"
91,611,72,48367.7,3156.177678,-6677.098308,"Rochester, MN-Mason City, IA-Austin, MN"
92,612,145,154771.94,4717.458235,-13601.818868,"Shreveport, LA"
93,613,1036,631176.48,46606.391576,-96714.340002,"Minneapolis-St. Paul, MN"
94,616,482,225037.64,18793.233183,-45610.577166,"Kansas City, MO"
95,617,422,211365.74,18160.61655,-37165.691811,"Milwaukee, WI"
96,618,1571,1037105.86,46833.468078,-150011.895571,"Houston, TX"
97,619,103,76566.68,3830.976736,-9584.137453,"Springfield, MO"
98,622,421,241716.38,12656.144384,-37945.505831,"New Orleans, LA"
99,623,1946,1221140.86,63960.848695,-188610.926422,"Dallas-Ft. Worth, TX"
100,624,30,24081.8,1278.306483,-2884.175374,"Sioux City, IA"
101,625,129,80077.74,4007.463747,-12519.884467,"Waco-Temple-Bryan, TX"
102,626,19,9870.68,547.7289,-1843.220015,"Victoria, TX"
103,627,41,15299.38,1393.810724,-4041.085173,"Wichita Falls, TX-Lawton, OK"
104,628,33,24499.079999999998,1075.133866,-3042.758671,"Monroe, LA-El Dorado, AR"
105,630,348,166880.58,11649.18957,-30183.539224,"Birmingham (Anniston and Tuscaloosa), AL"
106,631,9,7415.8,365.404628,-831.7751880000001,"Ottumwa, IA-Kirksville, MO"
107,632,72,98118.1,2683.200545,-6423.125999,"Paducah, KY-Cape Girardeau, MO-Harrisburg, IL"
108,633,102,177550.18,3247.059316,-10426.022858,"Odessa-Midland, TX"
109,634,56,36703.06,1966.179725,-5718.1175,"Amarillo, TX"
110,635,913,495018.36,27698.37463,-89316.120323,"Austin, TX"
111,636,53,31318.2,1387.940685,-5193.011547,"Harlingen-Weslaco-Brownsville-McAllen, TX"
112,637,97,37475.54,4083.176783,-8890.5902,"Cedar Rapids-Waterloo-Iowa City & Dubuque, IA"
113,638,2,338.0,80.138801,-189.663193,"St. Joseph, MO"
114,639,13,10471.94,463.360244,-1153.85744,"Jackson, TN"
115,640,357,191145.32,12529.637588,-32061.509292,"Memphis, TN"
116,641,711,421133.06,21035.62012,-70037.725854,"San Antonio, TX"
117,642,74,85615.28,2234.504794,-6812.547047,"Lafayette, LA"
118,643,44,23486.78,1330.964627,-4103.696464,"Lake Charles, LA"
